route_id,route_short_name,route_long_name,route_type
1,101,Ruta 101 ida,3
2,101,Ruta 101 regreso,3
3,102,Ruta 102 ida,3
4,102,Ruta 102 regreso,3
5,103,Ruta 103 ida,3
6,103,Ruta 103 regreso,3
7,104,Ruta 104 ida,3
8,104,Ruta 104 regreso,3
9,105,Ruta 105 ida,3
10,105,Ruta 105 regreso,3
11,105c,Ruta 105c regreso,3
12,106,Ruta 106 ida,3
13,106,Ruta 106 regreso,3
14,107,Ruta 107 ida,3
15,107,Ruta 107 regreso,3
16,107c,Ruta 107c ida,3
17,107c,Ruta 107c regreso,3
18,108,Ruta 108 ida,3
19,108,Ruta 108 regreso,3
20,109,Ruta 109 ida,3
21,109,Ruta 109 regreso,3
22,109n,Ruta 109n ida,3
23,109n,Ruta 109n regreso,3
24,110,Ruta 110 ida,3
25,110,Ruta 110 regreso,3
26,110c,Ruta 110c ida,3
27,110c,Ruta 110c regreso,3
28,111,Ruta 111 ida,3
29,111,Ruta 111 regreso,3
30,113,Ruta 113 ida,3
31,113,Ruta 113 regreso,3
32,113c,Ruta 113c ida,3
33,113c,Ruta 113c regreso,3
34,113e,Ruta 113e ida,3
35,113e,Ruta 113e regreso,3
36,114,Ruta 114 ida,3
37,114,Ruta 114 regreso,3
38,115,Ruta 115 ida,3
39,115,Ruta 115 regreso,3
40,115c,Ruta 115c ida,3
41,116,Ruta 116 ida,3
42,116,Ruta 116 regreso,3
43,117,Ruta 117 ida,3
44,117,Ruta 117 regreso,3
45,117c,Ruta 117c ida,3
46,117c,Ruta 117c regreso,3
47,118,Ruta 118 ida,3
48,118,Ruta 118 regreso,3
49,119,Ruta 119 ida,3
50,119,Ruta 119 regreso,3
51,120,Ruta 120 ida,3
52,120,Ruta 120 regreso,3
53,121,Ruta 121 ida,3
54,121,Ruta 121 regreso,3
55,124,Ruta 124 ida,3
56,124,Ruta 124 regreso,3
57,125,Ruta 125 ida,3
58,125,Ruta 125 regreso,3
59,126,Ruta 126 ida,3
60,126,Ruta 126 regreso,3
61,201,Ruta 201 ida,3
62,201,Ruta 201 regreso,3
63,201e,Ruta 201e ida,3
64,201e,Ruta 201e regreso,3
65,203,Ruta 203 ida,3
66,203,Ruta 203 regreso,3
67,203c,Ruta 203c regreso,3
68,203e,Ruta 203e ida,3
69,203e,Ruta 203e regreso,3
70,203n,Ruta 203n ida,3
71,203n,Ruta 203n regreso,3
72,204,Ruta 204 ida,3
73,204,Ruta 204 regreso,3
74,204e,Ruta 204e ida,3
75,204e,Ruta 204e regreso,3
76,204n,Ruta 204n ida,3
77,204n,Ruta 204n regreso,3
78,205,Ruta 205 ida,3
79,205,Ruta 205 regreso,3
80,205c,Ruta 205c regreso,3
81,206,Ruta 206 ida,3
82,206,Ruta 206 regreso,3
83,206c,Ruta 206c ida,3
84,206c,Ruta 206c regreso,3
85,207,Ruta 207 ida,3
86,207,Ruta 207 regreso,3
87,207c,Ruta 207c ida,3
88,207c,Ruta 207c regreso,3
89,207e,Ruta 207e ida,3
90,207e,Ruta 207e regreso,3
91,208,Ruta 208 ida,3
92,208,Ruta 208 regreso,3
93,208c,Ruta 208c ida,3
94,208c,Ruta 208c regreso,3
95,209,Ruta 209 ida,3
96,209,Ruta 209 regreso,3
97,209c,Ruta 209c regreso,3
98,210,Ruta 210 ida,3
99,210,Ruta 210 regreso,3
100,210e,Ruta 210e ida,3
101,210e,Ruta 210e regreso,3
102,210v,Ruta 210v ida,3
103,210v,Ruta 210v regreso,3
104,211,Ruta 211 ida,3
105,211,Ruta 211 regreso,3
106,211c,Ruta 211c ida,3
107,211c,Ruta 211c regreso,3
108,212,Ruta 212 ida,3
109,212,Ruta 212 regreso,3
110,213e,Ruta 213e ida,3
111,213e,Ruta 213e regreso,3
112,214,Ruta 214 ida,3
113,214,Ruta 214 regreso,3
114,216,Ruta 216 ida,3
115,216,Ruta 216 regreso,3
116,217e,Ruta 217e ida,3
117,217e,Ruta 217e regreso,3
118,219e,Ruta 219e ida,3
119,219e,Ruta 219e regreso,3
120,223,Ruta 223 ida,3
121,223,Ruta 223 regreso,3
122,224,Ruta 224 ida,3
123,224,Ruta 224 regreso,3
124,224c,Ruta 224c ida,3
125,224c,Ruta 224c regreso,3
126,225,Ruta 225 ida,3
127,225,Ruta 225 regreso,3
128,226,Ruta 226 ida,3
129,226,Ruta 226 regreso,3
130,227,Ruta 227 ida,3
131,227,Ruta 227 regreso,3
132,228,Ruta 228 ida,3
133,228,Ruta 228 regreso,3
134,229,Ruta 229 ida,3
135,229,Ruta 229 regreso,3
136,230,Ruta 230 ida,3
137,230,Ruta 230 regreso,3
138,233,Ruta 233 ida,3
139,262n,Ruta 262n ida,3
140,262n,Ruta 262n regreso,3
141,264n,Ruta 264n ida,3
142,264n,Ruta 264n regreso,3
143,271,Ruta 271 ida,3
144,271,Ruta 271 regreso,3
145,272,Ruta 272 ida,3
146,272,Ruta 272 regreso,3
147,286,Ruta 286 ida,3
148,286,Ruta 286 regreso,3
149,301,Ruta 301 ida,3
150,301,Ruta 301 regreso,3
151,301c,Ruta 301c ida,3
152,301c,Ruta 301c regreso,3
153,302,Ruta 302 ida,3
154,302,Ruta 302 regreso,3
155,302n,Ruta 302n ida,3
156,302n,Ruta 302n regreso,3
157,303,Ruta 303 ida,3
158,303,Ruta 303 regreso,3
159,307,Ruta 307 ida,3
160,307,Ruta 307 regreso,3
161,307c,Ruta 307c ida,3
162,307c,Ruta 307c regreso,3
163,307e,Ruta 307e ida,3
164,307e,Ruta 307e regreso,3
165,308,Ruta 308 ida,3
166,308,Ruta 308 regreso,3
167,308c,Ruta 308c ida,3
168,308c,Ruta 308c regreso,3
169,313e,Ruta 313e ida,3
170,313e,Ruta 313e regreso,3
171,314,Ruta 314 ida,3
172,314,Ruta 314 regreso,3
173,314c,Ruta 314c ida,3
174,314c,Ruta 314c regreso,3
175,315e,Ruta 315e ida,3
176,315e,Ruta 315e regreso,3
177,321,Ruta 321 ida,3
178,321,Ruta 321 regreso,3
179,322,Ruta 322 ida,3
180,322,Ruta 322 regreso,3
181,323,Ruta 323 ida,3
182,323,Ruta 323 regreso,3
183,325,Ruta 325 ida,3
184,325,Ruta 325 regreso,3
185,329,Ruta 329 ida,3
186,329,Ruta 329 regreso,3
187,345,Ruta 345 ida,3
188,345,Ruta 345 regreso,3
189,346n,Ruta 346n ida,3
190,346n,Ruta 346n regreso,3
191,348,Ruta 348 ida,3
192,348,Ruta 348 regreso,3
193,385,Ruta 385 ida,3
194,385,Ruta 385 regreso,3
195,401,Ruta 401 ida,3
196,401,Ruta 401 regreso,3
197,401c,Ruta 401c ida,3
198,401c,Ruta 401c regreso,3
199,402,Ruta 402 ida,3
200,402,Ruta 402 regreso,3
201,403,Ruta 403 ida,3
202,403,Ruta 403 regreso,3
203,404,Ruta 404 ida,3
204,404,Ruta 404 regreso,3
205,404c,Ruta 404c ida,3
206,404c,Ruta 404c regreso,3
207,405,Ruta 405 ida,3
208,405,Ruta 405 regreso,3
209,405c,Ruta 405c regreso,3
210,406,Ruta 406 ida,3
211,406,Ruta 406 regreso,3
212,406c,Ruta 406c ida,3
213,407,Ruta 407 ida,3
214,407,Ruta 407 regreso,3
215,408,Ruta 408 ida,3
216,408,Ruta 408 regreso,3
217,408e,Ruta 408e ida,3
218,408e,Ruta 408e regreso,3
219,409,Ruta 409 ida,3
220,409,Ruta 409 regreso,3
221,410,Ruta 410 ida,3
222,410,Ruta 410 regreso,3
223,410e,Ruta 410e ida,3
224,411,Ruta 411 ida,3
225,411,Ruta 411 regreso,3
226,412,Ruta 412 ida,3
227,412,Ruta 412 regreso,3
228,413c,Ruta 413c ida,3
229,413c,Ruta 413c regreso,3
230,414e,Ruta 414e ida,3
231,414e,Ruta 414e regreso,3
232,415e,Ruta 415e ida,3
233,415e,Ruta 415e regreso,3
234,417e,Ruta 417e ida,3
235,417e,Ruta 417e regreso,3
236,418,Ruta 418 ida,3
237,418,Ruta 418 regreso,3
238,419,Ruta 419 ida,3
239,419,Ruta 419 regreso,3
240,420,Ruta 420 ida,3
241,420,Ruta 420 regreso,3
242,421,Ruta 421 ida,3
243,421,Ruta 421 regreso,3
244,422,Ruta 422 ida,3
245,422,Ruta 422 regreso,3
246,422c,Ruta 422c ida,3
247,422c,Ruta 422c regreso,3
248,423,Ruta 423 ida,3
249,423,Ruta 423 regreso,3
250,424,Ruta 424 ida,3
251,424,Ruta 424 regreso,3
252,425,Ruta 425 ida,3
253,425,Ruta 425 regreso,3
254,426,Ruta 426 ida,3
255,426,Ruta 426 regreso,3
256,428,Ruta 428 ida,3
257,428,Ruta 428 regreso,3
258,428e,Ruta 428e ida,3
259,428e,Ruta 428e regreso,3
260,429,Ruta 429 ida,3
261,429,Ruta 429 regreso,3
262,429c,Ruta 429c ida,3
263,429c,Ruta 429c regreso,3
264,430,Ruta 430 ida,3
265,430,Ruta 430 regreso,3
266,431c,Ruta 431c ida,3
267,431c,Ruta 431c regreso,3
268,432n,Ruta 432n ida,3
269,432n,Ruta 432n regreso,3
270,435,Ruta 435 ida,3
271,435,Ruta 435 regreso,3
272,444,Ruta 444 ida,3
273,444,Ruta 444 regreso,3
274,445c,Ruta 445c ida,3
275,445c,Ruta 445c regreso,3
276,481,Ruta 481 ida,3
277,481,Ruta 481 regreso,3
278,486,Ruta 486 ida,3
279,501,Ruta 501 ida,3
280,501,Ruta 501 regreso,3
281,502,Ruta 502 ida,3
282,502,Ruta 502 regreso,3
283,502c,Ruta 502c ida,3
284,502c,Ruta 502c regreso,3
285,503,Ruta 503 ida,3
286,503,Ruta 503 regreso,3
287,504,Ruta 504 ida,3
